year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
2000,ALABAMA,AL,1666272,941173,692611,5893,25896,699
2000,ALASKA,AK,285560,167398,79004,2636,35454,1068
2000,ARIZONA,AZ,1532016,781652,685341,5775,59138,110
2000,ARKANSAS,AR,921781,472940,422768,2781,23292,0
2000,CALIFORNIA,CA,10965822,4567429,5861203,45520,491670,0
2000,COLORADO,CO,1741368,883748,738227,12799,106594,0
2000,CONNECTICUT,CT,1459525,561094,816015,3484,78878,54
2000,DELAWARE,DE,327529,137288,180068,774,9399,0
2000,DISTRICT OF COLUMBIA,DC,201894,18073,171923,669,10690,539
2000,FLORIDA,FL,5963110,2912790,2912253,16415,121612,40
2000,GEORGIA,GA,2583208,1419720,1116230,36332,10926,0
2000,HAWAII,HI,367951,137845,205286,1477,23343,0
2000,IDAHO,ID,501615,336937,138637,3488,10261,12292
2000,ILLINOIS,IL,4742108,2019421,2589026,11623,121992,46
2000,INDIANA,IN,2199302,1245836,901980,15530,16959,18997
2000,IOWA,IA,1353022,634373,638517,3209,76923,0
2000,KANSAS,KS,1072216,622332,399276,4525,46083,0
2000,KENTUCKY,KY,1544106,872520,638923,2885,29698,80
2000,LOUISIANA,LA,1765656,927871,792344,2951,42490,0
2000,MAINE,ME,651817,286616,319951,3074,42176,0
2000,MARYLAND,MD,2025212,813827,1144008,5310,60411,1656
2000,MASSACHUSETTS,MA,2733964,878502,1616487,16366,222609,0
2000,MICHIGAN,MI,4232501,1953139,2170418,16711,90382,1851
2000,MINNESOTA,MN,2438685,1109659,1168266,5282,155450,28
2000,MISSISSIPPI,MS,994184,572844,404614,2009,14717,0
2000,MISSOURI,MO,2359892,1189924,1111138,7436,51394,0
2000,MONTANA,MT,410986,240178,137126,1718,31964,0
2000,NEBRASKA,NE,697019,433862,231780,2245,29132,0
2000,NEVADA,NV,608970,301575,279978,3311,24106,0
2000,NEW HAMPSHIRE,NH,569081,273559,266348,2757,25141,1276
2000,NEW JERSEY,NJ,3187226,1284173,1788850,0,114203,0
2000,NEW MEXICO,NM,598605,286417,286783,2058,23347,0
2000,NEW YORK,NY,6960215,4661951,8049912,15298,441493,2
2000,NORTH CAROLINA,NC,2914990,1631163,1257692,13891,12244,0
2000,NORTH DAKOTA,ND,288256,174852,95284,0,18120,0
2000,OHIO,OH,4701998,2350363,2183628,13473,154534,0
2000,OKLAHOMA,OK,1234229,744337,474276,6602,9014,0
2000,OREGON,OR,1533950,713577,720342,7447,92584,0
2000,PENNSYLVANIA,PA,4912185,2281127,2485967,11248,133843,0
2000,RHODE ISLAND,RI,409112,130555,249508,742,27978,329
2000,SOUTH CAROLINA,SC,1383902,786892,566037,4760,26213,0
2000,SOUTH DAKOTA,SD,316269,190700,118804,1662,5103,0
2000,TENNESSEE,TN,2076181,1061949,981720,0,32084,428
2000,TEXAS,TX,6407637,3799639,2433746,23160,150388,704
2000,UTAH,UT,770754,515096,203053,3616,48988,1
2000,VERMONT,VT,294308,119775,149022,784,24213,514
2000,VIRGINIA,VA,2739447,1437490,1217290,15198,66662,2807
2000,WASHINGTON,WA,2487433,1108864,1247652,13135,117782,0
2000,WEST VIRGINIA,WV,648124,336475,295497,1912,14216,24
2000,WISCONSIN,WI,2598607,1237279,1242987,6640,111701,0
2000,WYOMING,WY,213726,147947,60481,1443,3855,0
