year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
1980,ALABAMA,AL,1341929,654192,636730,13318,37689,0
1980,ALASKA,AK,158445,86112,41842,18479,11155,857
1980,ARIZONA,AZ,873945,529688,246843,18784,78630,0
1980,ARKANSAS,AR,837582,403164,398041,8970,27407,0
1980,CALIFORNIA,CA,8582938,4522994,3082943,148390,828611,0
1980,COLORADO,CO,1184450,652264,368009,25744,138433,0
1980,CONNECTICUT,CT,1406285,677210,541732,8570,177937,836
1980,DELAWARE,DE,235668,111252,105754,1974,16688,0
1980,DISTRICT OF COLUMBIA,DC,173889,23313,130231,1104,18551,690
1980,FLORIDA,FL,3686927,2046951,1419475,30524,189692,285
1980,GEORGIA,GA,1596805,654168,890955,15627,36055,0
1980,HAWAII,HI,303287,130112,135879,3269,34027,0
1980,IDAHO,ID,437431,290699,110192,8425,28115,0
1980,ILLINOIS,IL,4749721,2358049,1981413,38939,370716,604
1980,INDIANA,IN,2242033,1255656,844197,19627,122553,0
1980,IOWA,IA,1317661,676026,508672,13123,119321,519
1980,KANSAS,KS,979795,566812,326150,14470,72363,0
1980,KENTUCKY,KY,1295627,635274,617417,5531,37405,0
1980,LOUISIANA,LA,1548591,792853,708453,8240,39045,0
1980,MAINE,ME,523011,238522,220974,5119,58312,84
1980,MARYLAND,MD,1540496,680606,726161,14192,119537,0
1980,MASSACHUSETTS,MA,2524090,1057631,1053802,22038,388330,2289
1980,MICHIGAN,MI,3909725,1915225,1661532,41597,290415,956
1980,MINNESOTA,MN,2051916,873268,954173,31593,192601,281
1980,MISSISSIPPI,MS,891750,441089,429281,4702,16678,0
1980,MISSOURI,MO,2099824,1074181,931182,14422,79435,604
1980,MONTANA,MT,363952,206814,118032,9825,29281,0
1980,NEBRASKA,NE,639533,419214,166424,9041,44854,0
1980,NEVADA,NV,243692,155017,66666,4358,17651,0
1980,NEW HAMPSHIRE,NH,383990,221705,108864,2064,51289,68
1980,NEW JERSEY,NJ,2975684,1546557,1147364,20652,261111,0
1980,NEW MEXICO,NM,456237,250779,167826,4365,33267,0
1980,NEW YORK,NY,6201959,5531531,5456744,0,578692,1064
1980,NORTH CAROLINA,NC,1855833,915018,875635,9677,55503,0
1980,NORTH DAKOTA,ND,301116,193695,79189,3743,24489,0
1980,OHIO,OH,4283603,2206545,1752414,49033,275611,0
1980,OKLAHOMA,OK,1149708,695570,402026,13828,38284,0
1980,OREGON,OR,1181516,571044,456890,25838,126031,1713
1980,PENNSYLVANIA,PA,4561501,2261872,1937540,33263,328826,0
1980,RHODE ISLAND,RI,415967,154793,198342,2458,60374,0
1980,SOUTH CAROLINA,SC,888258,439277,428220,4807,15954,0
1980,SOUTH DAKOTA,SD,327703,198343,103855,3824,21681,0
1980,TENNESSEE,TN,1617616,787761,783051,7116,39536,152
1980,TEXAS,TX,4541636,2510705,1881147,37643,111613,528
1980,UTAH,UT,604152,439687,124266,7156,33043,0
1980,VERMONT,VT,213299,94628,81952,1900,34406,413
1980,VIRGINIA,VA,1866032,989609,752174,12821,111428,0
1980,WASHINGTON,WA,1742394,865244,650193,29213,197744,0
1980,WEST VIRGINIA,WV,737715,334206,367462,4356,31691,0
1980,WISCONSIN,WI,2273221,1088845,981584,29135,172320,1337
1980,WYOMING,WY,176713,110700,49427,4514,12072,0
