year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
1992,ALABAMA,AL,1688060,804283,690080,5737,187237,723
1992,ALASKA,AK,258506,102000,78294,1378,76469,365
1992,ARIZONA,AZ,1486975,572086,543050,6759,365072,8
1992,ARKANSAS,AR,950653,337324,505823,0,107506,0
1992,CALIFORNIA,CA,11131721,3630574,5121325,48139,2327314,4369
1992,COLORADO,CO,1569180,562850,629681,8669,367980,0
1992,CONNECTICUT,CT,1616156,578313,682318,5391,350134,0
1992,DELAWARE,DE,289620,102313,126054,935,60318,0
1992,DISTRICT OF COLUMBIA,DC,227572,20698,192619,467,13112,676
1992,FLORIDA,FL,5313392,2173310,2071698,15079,1053067,238
1992,GEORGIA,GA,2321133,995252,1008966,7110,309657,148
1992,HAWAII,HI,372842,136822,179310,1119,55591,0
1992,IDAHO,ID,482114,202645,137013,1167,141289,0
1992,ILLINOIS,IL,5050157,1734096,2453350,9218,853471,22
1992,INDIANA,IN,2305871,989375,848420,7936,458517,1623
1992,IOWA,IA,1354607,504891,586353,1076,262287,0
1992,KANSAS,KS,1157236,449951,390434,4314,312358,179
1992,KENTUCKY,KY,1492900,617178,665104,4513,206058,47
1992,LOUISIANA,LA,1790017,733386,815971,3155,237505,0
1992,MAINE,ME,679499,206504,263420,1681,207894,0
1992,MARYLAND,MD,1984580,707094,988571,4715,284200,0
1992,MASSACHUSETTS,MA,2773664,805039,1318639,9021,640965,0
1992,MICHIGAN,MI,4274673,1554940,1871182,10175,837462,914
1992,MINNESOTA,MN,2347948,747841,1020997,3374,573237,2499
1992,MISSISSIPPI,MS,981793,487793,400258,2154,91588,0
1992,MISSOURI,MO,2391270,811159,1053873,7497,518741,0
1992,MONTANA,MT,410583,144207,154507,986,110883,0
1992,NEBRASKA,NE,737546,343678,216864,1340,175664,0
1992,NEVADA,NV,506318,175828,189148,1835,139507,0
1992,NEW HAMPSHIRE,NH,537215,202484,209040,3548,122143,0
1992,NEW JERSEY,NJ,3343594,1356865,1436206,6822,543701,0
1992,NEW MEXICO,NM,569986,212824,261617,1615,93930,0
1992,NEW YORK,NY,7079432,2041690,3346894,13451,1677397,0
1992,NORTH CAROLINA,NC,2611850,1134661,1114042,5171,357976,0
1992,NORTH DAKOTA,ND,308133,136244,99168,0,72721,0
1992,OHIO,OH,4939967,1894310,1984942,0,1060673,42
1992,OKLAHOMA,OK,1390359,592929,473066,4486,319878,0
1992,OREGON,OR,1462643,475757,621314,4277,359730,1565
1992,PENNSYLVANIA,PA,4959810,1791841,2239164,21477,907328,0
1992,RHODE ISLAND,RI,453365,131601,213299,571,107894,0
1992,SOUTH CAROLINA,SC,1228912,577507,525514,2719,123172,0
1992,SOUTH DAKOTA,SD,336254,136718,124888,814,73834,0
1992,TENNESSEE,TN,1982638,841300,933521,0,207656,161
1992,TEXAS,TX,6154018,2496071,2281815,19699,1354781,1652
1992,UTAH,UT,743998,322632,183429,1900,236037,0
1992,VERMONT,VT,289701,88122,133592,501,66998,488
1992,VIRGINIA,VA,2559129,1150517,1038650,5730,363768,464
1992,WASHINGTON,WA,2287565,731234,993037,7533,555761,0
1992,WEST VIRGINIA,WV,683677,241974,331001,1873,108829,0
1992,WISCONSIN,WI,2531064,930855,1041066,2877,556266,0
1992,WYOMING,WY,199884,79347,68160,844,51533,0
