year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
2012,ALABAMA,AL,2074338,1255925,795696,0,18706,4011
2012,ALASKA,AK,300495,164676,122640,7392,2917,2870
2012,ARIZONA,AZ,2299254,1233654,1025232,32100,7816,452
2012,ARKANSAS,AR,1069468,647744,394409,16276,11039,0
2012,CALIFORNIA,CA,13038547,4839958,7854285,143221,177834,23249
2012,COLORADO,CO,2569516,1185243,1323101,35545,25627,0
2012,CONNECTICUT,CT,1558204,634892,905083,12340,4971,918
2012,DELAWARE,DE,413890,165484,242584,3882,1940,0
2012,DISTRICT OF COLUMBIA,DC,293764,21381,267070,2083,2458,772
2012,FLORIDA,FL,8474179,4163447,4237756,44726,28205,45
2012,GEORGIA,GA,3897839,2078688,1773827,45324,0,0
2012,HAWAII,HI,437159,121015,306658,3840,5646,0
2012,IDAHO,ID,652274,420911,212787,9453,9123,0
2012,ILLINOIS,IL,5242014,2135216,3019512,56229,30222,835
2012,INDIANA,IN,2624534,1420543,1152887,50111,0,993
2012,IOWA,IA,1582180,730617,822544,12926,8651,7442
2012,KANSAS,KS,1159971,692634,440726,20456,5017,1138
2012,KENTUCKY,KY,1797212,1087190,679370,17063,13209,380
2012,LOUISIANA,LA,1994065,1152262,809141,18157,14505,0
2012,MAINE,ME,724758,292276,401306,9352,19697,2127
2012,MARYLAND,MD,2707327,971869,1677844,30195,17110,10309
2012,MASSACHUSETTS,MA,3184196,1188314,1921290,30920,43672,0
2012,MICHIGAN,MI,4730961,2115256,2564569,0,43163,7973
2012,MINNESOTA,MN,2936561,1320225,1546167,35098,24430,10641
2012,MISSISSIPPI,MS,1285584,710746,562949,6676,5213,0
2012,MISSOURI,MO,2757323,1482440,1223796,43151,7936,0
2012,MONTANA,MT,484048,267928,201839,14165,0,116
2012,NEBRASKA,NE,794379,475064,302081,11109,2408,3717
2012,NEVADA,NV,1014918,463567,531373,10968,9010,0
2012,NEW HAMPSHIRE,NH,710972,329918,369561,8212,1583,1698
2012,NEW JERSEY,NJ,3638499,1478088,2122786,21035,16590,0
2012,NEW MEXICO,NM,783758,335788,415335,27788,4847,0
2012,NEW YORK,NY,7116784,2223397,4324228,47092,521724,343
2012,NORTH CAROLINA,NC,4505372,2270395,2178391,44515,0,12071
2012,NORTH DAKOTA,ND,322932,188320,124966,5238,2548,1860
2012,OHIO,OH,5580822,2661407,2827621,49493,42194,107
2012,OKLAHOMA,OK,1334872,891325,443547,0,0,0
2012,OREGON,OR,1789270,754175,970488,24089,40518,0
2012,PENNSYLVANIA,PA,5742040,2680434,2990274,49991,21341,0
2012,RHODE ISLAND,RI,446049,157204,279677,4388,3399,1381
2012,SOUTH CAROLINA,SC,1964118,1071645,865941,16321,10211,0
2012,SOUTH DAKOTA,SD,363815,210610,145039,5795,2371,0
2012,TENNESSEE,TN,2458577,1462330,960709,0,35538,0
2012,TEXAS,TX,7993851,4569843,3308124,88580,24657,2647
2012,UTAH,UT,1017440,740600,251813,12572,12416,39
2012,VERMONT,VT,299290,92698,199239,3487,1823,2043
2012,VIRGINIA,VA,3854489,1822522,1971820,31216,21685,7246
2012,WASHINGTON,WA,3125516,1290670,1755396,42202,37248,0
2012,WEST VIRGINIA,WV,670438,417655,238269,6302,8212,0
2012,WISCONSIN,WI,3071434,1410966,1620985,0,39483,0
2012,WYOMING,WY,250701,170962,69286,5326,3092,2035
