year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
2020,ALABAMA,AL,2323282,1441170,849624,25176,0,7312
2020,ALASKA,AK,359530,189951,153778,8897,4943,1961
2020,ARIZONA,AZ,3387326,1661686,1672143,51465,0,2032
2020,ARKANSAS,AR,1219069,760647,423932,13133,21357,0
2020,CALIFORNIA,CA,17500881,6006429,11110250,187895,192226,4081
2020,COLORADO,CO,3279980,1364607,1804352,52460,58561,0
2020,CONNECTICUT,CT,1823857,714717,1080831,20230,7538,541
2020,DELAWARE,DE,504346,200603,296268,5000,2139,336
2020,DISTRICT OF COLUMBIA,DC,344356,18586,317323,2036,3274,3137
2020,FLORIDA,FL,11067456,5668731,5297045,70324,30301,1055
2020,GEORGIA,GA,4999960,2461854,2473633,62229,0,2244
2020,HAWAII,HI,579396,196864,366130,5539,10863,0
2020,IDAHO,ID,868014,554119,287021,16404,9817,653
2020,ILLINOIS,IL,6033743,2446891,3471915,66544,48088,305
2020,INDIANA,IN,3033118,1729519,1242416,59232,0,1951
2020,IOWA,IA,1690871,897672,759061,19637,10164,4337
2020,KANSAS,KS,1372303,771406,570323,30574,0,0
2020,KENTUCKY,KY,2136768,1326646,772474,26234,10082,1332
2020,LOUISIANA,LA,2148062,1255776,856034,21645,14607,0
2020,MAINE,ME,828305,360737,435072,14152,18257,87
2020,MARYLAND,MD,3037030,976414,1985023,33488,21683,20422
2020,MASSACHUSETTS,MA,3658005,1167202,2382202,47013,45261,16327
2020,MICHIGAN,MI,5539302,2649852,2804040,60381,23939,1090
2020,MINNESOTA,MN,3277171,1484065,1717077,34976,31088,9965
2020,MISSISSIPPI,MS,1313759,756764,539398,8026,9571,0
2020,MISSOURI,MO,3025962,1718736,1253014,41205,12202,805
2020,MONTANA,MT,603674,343602,244786,15252,0,34
2020,NEBRASKA,NE,956383,556846,374583,20283,0,4671
2020,NEVADA,NV,1405376,669890,703486,14783,3138,14079
2020,NEW HAMPSHIRE,NH,806182,365654,424921,13235,0,2372
2020,NEW JERSEY,NJ,4549353,1883274,2608335,31677,26067,0
2020,NEW MEXICO,NM,923965,401894,501614,12585,7872,0
2020,NEW YORK,NY,8638367,6489596,10461970,120468,98881,3469
2020,NORTH CAROLINA,NC,5524802,2758773,2684292,48678,19744,13315
2020,NORTH DAKOTA,ND,361819,235595,114902,9393,0,1929
2020,OHIO,OH,5922202,3154834,2679165,67569,18812,1822
2020,OKLAHOMA,OK,1560699,1020280,503890,24731,11798,0
2020,OREGON,OR,2374321,958448,1340383,41582,16819,17089
2020,PENNSYLVANIA,PA,6915283,3377674,3458229,79380,0,0
2020,RHODE ISLAND,RI,516990,199922,307486,5053,1770,2759
2020,SOUTH CAROLINA,SC,2514096,1385103,1091541,27916,9536,0
2020,SOUTH DAKOTA,SD,422609,261043,150471,11095,0,0
2020,TENNESSEE,TN,3053851,1852475,1143711,0,56803,862
2020,TEXAS,TX,11315056,5890347,5259126,126243,33396,5944
2020,UTAH,UT,1488289,865140,560282,38447,10604,13816
2020,VERMONT,VT,370690,112704,242820,3608,9616,1942
2020,VIRGINIA,VA,4460524,1962430,2413568,64761,0,19765
2020,WASHINGTON,WA,4087631,1584651,2369612,80500,25616,27252
2020,WEST VIRGINIA,WV,794652,545382,235984,10687,2599,0
2020,WISCONSIN,WI,3298041,1610184,1630866,0,48896,8095
2020,WYOMING,WY,276765,193559,73491,5768,2208,1739
