year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
2004,ALABAMA,AL,1883415,1176394,693933,0,12190,898
2004,ALASKA,AK,312598,190889,111025,1675,8219,790
2004,ARIZONA,AZ,2012585,1104294,893524,11856,0,2911
2004,ARKANSAS,AR,1054945,572898,469953,2352,9742,0
2004,CALIFORNIA,CA,12421353,5509826,6745485,50165,95023,20854
2004,COLORADO,CO,2129630,1101255,1001732,7664,18979,0
2004,CONNECTICUT,CT,1578769,693826,857488,3367,24076,12
2004,DELAWARE,DE,375190,171660,200152,586,2792,0
2004,DISTRICT OF COLUMBIA,DC,227586,21256,202970,502,2352,506
2004,FLORIDA,FL,7609810,3964522,3583544,11996,49748,0
2004,GEORGIA,GA,3301875,1914254,1366149,18387,0,3085
2004,HAWAII,HI,429013,194191,231708,1377,1737,0
2004,IDAHO,ID,598376,409235,181098,3844,4199,0
2004,ILLINOIS,IL,5274322,2345946,2891550,32442,0,4384
2004,INDIANA,IN,2468002,1479438,969011,18058,0,1495
2004,IOWA,IA,1506908,751957,741898,2992,8967,1094
2004,KANSAS,KS,1187756,736456,434993,4013,12247,47
2004,KENTUCKY,KY,1795882,1069439,712733,2619,11069,22
2004,LOUISIANA,LA,1943106,1102169,820299,2781,17857,0
2004,MAINE,ME,740752,330201,396842,1965,11744,0
2004,MARYLAND,MD,2384238,1024703,1334493,6094,18907,41
2004,MASSACHUSETTS,MA,2927455,1071109,1803800,15022,32718,4806
2004,MICHIGAN,MI,4839252,2313746,2479183,10552,35771,0
2004,MINNESOTA,MN,2828387,1346695,1445014,4639,29507,2532
2004,MISSISSIPPI,MS,1139824,672660,457766,1793,7605,0
2004,MISSOURI,MO,2731364,1455713,1259171,9831,5355,1294
2004,MONTANA,MT,450434,266063,173710,1733,8928,0
2004,NEBRASKA,NE,778186,512814,254328,2041,8072,931
2004,NEVADA,NV,829587,418690,397190,3176,10531,0
2004,NEW HAMPSHIRE,NH,678287,331237,340511,0,5574,965
2004,NEW JERSEY,NJ,3611691,1670003,1911430,0,30258,0
2004,NEW MEXICO,NM,756304,376930,370942,2382,6050,0
2004,NEW YORK,NY,7448266,2806993,4180755,11607,448607,304
2004,NORTH CAROLINA,NC,3501007,1961166,1525849,11731,0,2261
2004,NORTH DAKOTA,ND,312833,196651,111052,851,4270,9
2004,OHIO,OH,5627903,2859764,2741165,0,26616,358
2004,OKLAHOMA,OK,1463758,959792,503966,0,0,0
2004,OREGON,OR,1836782,866831,943163,7260,19528,0
2004,PENNSYLVANIA,PA,5769590,2793847,2938095,21185,13807,2656
2004,RHODE ISLAND,RI,437134,169046,259760,907,7421,0
2004,SOUTH CAROLINA,SC,1617700,937974,661669,3608,14449,0
2004,SOUTH DAKOTA,SD,388215,232584,149244,964,5423,0
2004,TENNESSEE,TN,2437319,1384375,1036477,0,16428,39
2004,TEXAS,TX,7410749,4526917,2832704,38787,0,12341
2004,UTAH,UT,927844,663742,241199,3375,19485,43
2004,VERMONT,VT,312309,121180,184067,1102,5003,957
2004,VIRGINIA,VA,3195415,1716959,1454742,11032,10161,2521
2004,WASHINGTON,WA,2859084,1304894,1510201,11955,32034,0
2004,WEST VIRGINIA,WV,755792,423778,326541,1405,4063,5
2004,WISCONSIN,WI,2997007,1478120,1489504,6464,22919,0
2004,WYOMING,WY,243861,167629,70776,1171,3805,480
