year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
2016,ALABAMA,AL,2123372,1318255,729547,44467,9391,21712
2016,ALASKA,AK,318608,163387,116454,18725,10841,9201
2016,ARIZONA,AZ,2573165,1252401,1161167,106327,34345,18925
2016,ARKANSAS,AR,1130635,684872,380494,29829,35440,0
2016,CALIFORNIA,CA,14181595,4483810,8753788,478500,344758,120739
2016,COLORADO,CO,2780220,1202484,1338870,144121,94745,0
2016,CONNECTICUT,CT,1644920,673215,897572,48676,22841,2616
2016,DELAWARE,DE,441590,185127,235603,14757,6103,0
2016,DISTRICT OF COLUMBIA,DC,312575,12723,282830,4906,5565,6551
2016,FLORIDA,FL,9420039,4617886,4504975,207043,89982,153
2016,GEORGIA,GA,4114732,2089104,1877963,125306,0,22359
2016,HAWAII,HI,437664,128847,266891,15954,25972,0
2016,IDAHO,ID,690255,409055,189765,28331,63104,0
2016,ILLINOIS,IL,5536424,2146015,3090729,209596,76802,13282
2016,INDIANA,IN,2734958,1557286,1033126,133993,0,10553
2016,IOWA,IA,1565580,800983,653669,59186,33996,17746
2016,KANSAS,KS,1184402,671018,427005,55406,23506,7467
2016,KENTUCKY,KY,1924149,1202971,628854,53752,37821,751
2016,LOUISIANA,LA,2029032,1178638,780154,37978,32262,0
2016,MAINE,ME,771892,335593,357735,38105,40459,0
2016,MARYLAND,MD,2781446,943169,1677928,79605,35945,44799
2016,MASSACHUSETTS,MA,3378821,1090893,1995196,138018,151924,2790
2016,MICHIGAN,MI,4799284,2279543,2268839,172136,69811,8955
2016,MINNESOTA,MN,2944782,1322949,1367705,112972,113909,27247
2016,MISSISSIPPI,MS,1209357,700714,485131,14435,9077,0
2016,MISSOURI,MO,2808605,1594511,1071068,97359,38511,7156
2016,MONTANA,MT,494526,279240,177709,28037,9540,0
2016,NEBRASKA,NE,844227,495961,284494,38946,8775,16051
2016,NEVADA,NV,1125385,512058,539260,37384,36683,0
2016,NEW HAMPSHIRE,NH,744296,345790,348526,30777,7174,12029
2016,NEW JERSEY,NJ,3874046,1601933,2148278,72477,51358,0
2016,NEW MEXICO,NM,798319,319667,385234,74541,18877,0
2016,NEW YORK,NY,7802084,2527142,4379789,57442,824895,12816
2016,NORTH CAROLINA,NC,4741564,2362631,2189316,130126,0,59491
2016,NORTH DAKOTA,ND,344360,216794,93758,21434,5977,6397
2016,OHIO,OH,5496487,2841005,2394164,0,245004,16314
2016,OKLAHOMA,OK,1452992,949136,420375,83481,0,0
2016,OREGON,OR,2001336,782403,1002106,94231,122596,0
2016,PENNSYLVANIA,PA,6115402,2970733,2926441,146715,71513,0
2016,RHODE ISLAND,RI,464144,180543,252525,14746,6891,9439
2016,SOUTH CAROLINA,SC,2103027,1155389,855373,49204,43061,0
2016,SOUTH DAKOTA,SD,370093,227721,117458,20850,4064,0
2016,TENNESSEE,TN,2508027,1522925,870695,0,100618,13789
2016,TEXAS,TX,8969226,4685047,3877868,283492,71558,51261
2016,UTAH,UT,1131317,515211,310674,39608,265824,0
2016,VERMONT,VT,320467,95369,178573,10078,13548,22899
2016,VIRGINIA,VA,3982752,1769443,1981473,118274,81692,31870
2016,WASHINGTON,WA,3317019,1221747,1742718,160879,83870,107805
2016,WEST VIRGINIA,WV,713051,489371,188794,23004,11882,0
2016,WISCONSIN,WI,2976150,1405284,1382536,106674,69270,12386
2016,WYOMING,WY,258788,174419,55973,13287,8205,6904
