year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
1996,ALABAMA,AL,1534349,769044,662165,5290,96727,1123
1996,ALASKA,AK,241620,122746,80380,2276,35584,634
1996,ARIZONA,AZ,1404405,622073,653288,14358,112113,2573
1996,ARKANSAS,AR,884262,325416,475171,3076,80599,0
1996,CALIFORNIA,CA,10019469,3828381,5119835,73600,996800,853
1996,COLORADO,CO,1510702,691848,671152,12392,135310,0
1996,CONNECTICUT,CT,1392614,483109,735740,5788,167972,5
1996,DELAWARE,DE,270810,99062,140355,2052,29341,0
1996,DISTRICT OF COLUMBIA,DC,185726,17339,158220,588,8931,648
1996,FLORIDA,FL,5303154,2244536,2546870,23326,483870,4552
1996,GEORGIA,GA,2298899,1080843,1053849,17870,146337,0
1996,HAWAII,HI,360120,113943,205012,2493,38672,0
1996,IDAHO,ID,491711,256595,165443,3325,66348,0
1996,ILLINOIS,IL,4311391,1587021,2341744,22548,358620,1458
1996,INDIANA,IN,2135431,1006693,887424,15632,224299,1383
1996,IOWA,IA,1234075,492644,620258,2315,118858,0
1996,KANSAS,KS,1074300,583245,387659,4557,97813,1026
1996,KENTUCKY,KY,1388708,623283,636614,4009,124093,709
1996,LOUISIANA,LA,1783959,712586,927837,7499,136037,0
1996,MAINE,ME,605897,186378,312788,2996,103735,0
1996,MARYLAND,MD,1780870,681530,966207,8765,121731,2637
1996,MASSACHUSETTS,MA,2556459,718058,1571509,20424,241845,4623
1996,MICHIGAN,MI,3848844,1481212,1989653,27670,345631,4678
1996,MINNESOTA,MN,2192492,766395,1120380,8271,294543,2903
1996,MISSISSIPPI,MS,893857,439838,394022,2809,57188,0
1996,MISSOURI,MO,2158065,890016,1025935,10522,231592,0
1996,MONTANA,MT,407083,179652,167922,2526,56983,0
1996,NEBRASKA,NE,677415,363467,236761,2792,74395,0
1996,NEVADA,NV,464279,199244,203974,4460,56601,0
1996,NEW HAMPSHIRE,NH,496597,196486,246166,4214,49731,0
1996,NEW JERSEY,NJ,3075860,1103099,1652361,0,320400,0
1996,NEW MEXICO,NM,556074,232751,273495,2996,46832,0
1996,NEW YORK,NY,6439129,3672199,7405807,24440,737240,0
1996,NORTH CAROLINA,NC,2515807,1225938,1107849,8740,170830,2450
1996,NORTH DAKOTA,ND,266411,125050,106905,847,33609,0
1996,OHIO,OH,4534434,1859883,2148222,12851,513478,0
1996,OKLAHOMA,OK,1206713,582315,488105,5505,130788,0
1996,OREGON,OR,1377760,538152,649641,8903,181064,0
1996,PENNSYLVANIA,PA,4501307,1801169,2215819,28000,456319,0
1996,RHODE ISLAND,RI,390247,104683,233050,1109,51405,0
1996,SOUTH CAROLINA,SC,1150182,573339,506152,4271,66420,0
1996,SOUTH DAKOTA,SD,323826,150543,139333,1472,32478,0
1996,TENNESSEE,TN,1894105,863530,909146,0,121239,190
1996,TEXAS,TX,5611644,2736167,2459683,20256,390431,5107
1996,UTAH,UT,665629,361911,221633,4129,77797,159
1996,VERMONT,VT,258449,80352,137894,1183,38460,560
1996,VIRGINIA,VA,2416642,1138350,1091060,9174,178058,0
1996,WASHINGTON,WA,2253837,840712,1123323,12522,277280,0
1996,WEST VIRGINIA,WV,636459,233946,327812,3062,71639,0
1996,WISCONSIN,WI,2196169,845029,1071971,7929,271240,0
1996,WYOMING,WY,211571,105388,77934,1739,26510,0
