year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
2008,ALABAMA,AL,2099819,1266546,813479,0,16089,3705
2008,ALASKA,AK,326197,193841,123594,1589,5443,1730
2008,ARIZONA,AZ,2293475,1230111,1034707,12555,14707,1395
2008,ARKANSAS,AR,1086617,638017,422310,4776,21514,0
2008,CALIFORNIA,CA,13561900,5011781,8274473,67582,187828,20236
2008,COLORADO,CO,2401361,1073589,1288576,10897,28299,0
2008,CONNECTICUT,CT,1646792,629428,997772,0,19162,430
2008,DELAWARE,DE,412412,152374,255459,1109,3470,0
2008,DISTRICT OF COLUMBIA,DC,265853,17367,245800,0,1548,1138
2008,FLORIDA,FL,8390744,4045624,4282074,17218,45437,391
2008,GEORGIA,GA,3924486,2048759,1844123,28731,0,2873
2008,HAWAII,HI,453568,120566,325871,1314,5817,0
2008,IDAHO,ID,655122,403012,236440,3658,11922,90
2008,ILLINOIS,IL,5522371,2031179,3419348,19642,52191,11
2008,INDIANA,IN,2751054,1345648,1374039,29257,0,2110
2008,IOWA,IA,1537123,682379,828940,4590,14477,6737
2008,KANSAS,KS,1235872,699655,514765,6706,14746,0
2008,KENTUCKY,KY,1826620,1048462,751985,5989,20072,112
2008,LOUISIANA,LA,1960761,1148275,782989,0,29497,0
2008,MAINE,ME,731163,295273,421923,0,13967,0
2008,MARYLAND,MD,2631596,959862,1629467,9842,23220,9205
2008,MASSACHUSETTS,MA,3102995,1108854,1904097,13189,76855,0
2008,MICHIGAN,MI,5001596,2048639,2872579,23716,56662,0
2008,MINNESOTA,MN,2910369,1275409,1573354,9174,42903,9529
2008,MISSISSIPPI,MS,1289865,724597,554662,2529,8077,0
2008,MISSOURI,MO,2925205,1445814,1441911,11386,26014,80
2008,MONTANA,MT,490109,242763,231667,1355,14324,0
2008,NEBRASKA,NE,801281,452979,333319,2740,9406,2837
2008,NEVADA,NV,967848,412827,533736,4263,17022,0
2008,NEW HAMPSHIRE,NH,710970,316534,384826,2748,3503,3359
2008,NEW JERSEY,NJ,3868237,1613207,2215422,8441,31167,0
2008,NEW MEXICO,NM,830158,346832,472422,2428,8476,0
2008,NEW YORK,NY,7722019,5171094,9450277,39192,144005,702
2008,NORTH CAROLINA,NC,4310851,2128474,2142651,25722,0,14004
2008,NORTH DAKOTA,ND,316621,168601,141278,1354,5388,0
2008,OHIO,OH,5708350,2677820,2940044,19917,70060,509
2008,OKLAHOMA,OK,1462661,960165,502496,0,0,0
2008,OREGON,OR,1827864,738475,1037291,7635,44463,0
2008,PENNSYLVANIA,PA,6013272,2655885,3276363,19912,51157,9955
2008,RHODE ISLAND,RI,471766,165391,296571,1382,6423,1999
2008,SOUTH CAROLINA,SC,1920969,1034896,862449,7283,16341,0
2008,SOUTH DAKOTA,SD,381975,203054,170924,1835,6162,0
2008,TENNESSEE,TN,2599749,1479178,1087437,0,33134,0
2008,TEXAS,TX,8077795,4479328,3528633,56116,0,13718
2008,UTAH,UT,952370,596030,327670,6966,21672,32
2008,VERMONT,VT,325046,98974,219262,1067,4279,1464
2008,VIRGINIA,VA,3723260,1725005,1959532,11067,21301,6355
2008,WASHINGTON,WA,3036878,1229216,1750848,12728,44086,0
2008,WEST VIRGINIA,WV,713451,397466,303857,0,12039,89
2008,WISCONSIN,WI,2983417,1262393,1677211,8858,34955,0
2008,WYOMING,WY,254658,164958,82868,1594,3717,1521
