year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other
1992,ARKANSAS,AR,950653,337324,505823,0,107506
1992,CALIFORNIA,CA,11131721,3630574,5121325,48139,2331683
1992,COLORADO,CO,1569180,562850,629681,8669,367980
1992,CONNECTICUT,CT,1616156,578313,682318,5391,350134
1992,DELAWARE,DE,289620,102313,126054,935,60318
1992,DISTRICT OF COLUMBIA,DC,227572,20698,192619,467,13788
1992,FLORIDA,FL,5313392,2173310,2071698,15079,1053305
1992,GEORGIA,GA,2321133,995252,1008966,7110,309805
1992,HAWAII,HI,372842,136822,179310,1119,55591
1992,IDAHO,ID,482114,202645,137013,1167,141289
1992,ILLINOIS,IL,5050157,1734096,2453350,9218,853493
1992,INDIANA,IN,2305871,989375,848420,7936,460140
1992,IOWA,IA,1354607,504891,586353,1076,262287
1992,KANSAS,KS,1157236,449951,390434,4314,312537
1992,KENTUCKY,KY,1492900,617178,665104,4513,206105
1992,LOUISIANA,LA,1790017,733386,815971,3155,237505
1992,MAINE,ME,679499,206504,263420,1681,207894
1992,MARYLAND,MD,1984580,707094,988571,4715,284200
1992,MASSACHUSETTS,MA,2773664,805039,1318639,9021,640965
1992,MICHIGAN,MI,4274673,1554940,1871182,10175,838376
1992,MINNESOTA,MN,2347948,747841,1020997,3374,575736
1992,MISSISSIPPI,MS,981793,487793,400258,2154,91588
1992,MISSOURI,MO,2391270,811159,1053873,7497,518741
1992,MONTANA,MT,410583,144207,154507,986,110883
1992,NEBRASKA,NE,737546,343678,216864,1340,175664
1992,NEVADA,NV,506318,175828,189148,1835,139507
1992,NEW HAMPSHIRE,NH,537215,202484,209040,3548,122143
1992,NEW JERSEY,NJ,3343594,1356865,1436206,6822,543701
1992,NEW MEXICO,NM,569986,212824,261617,1615,93930
1992,NEW YORK,NY,7079432,4388339,6791344,26902,1274882
1992,NORTH CAROLINA,NC,2611850,1134661,1114042,5171,357976
1992,NORTH DAKOTA,ND,308133,136244,99168,0,72721
1992,OHIO,OH,4939967,1894310,1984942,0,1060715
1992,OKLAHOMA,OK,1390359,592929,473066,4486,319878
1992,OREGON,OR,1462643,475757,621314,4277,361295
1992,PENNSYLVANIA,PA,4959810,1791841,2239164,21477,907328
1992,RHODE ISLAND,RI,453365,131601,213299,571,107894
1992,SOUTH CAROLINA,SC,1228912,577507,525514,2719,123172
1992,SOUTH DAKOTA,SD,336254,136718,124888,814,73834
1992,TENNESSEE,TN,1982638,841300,933521,0,207817
1992,TEXAS,TX,6154018,2496071,2281815,19699,1356433
1992,UTAH,UT,743998,322632,183429,1900,236037
1992,VERMONT,VT,289701,88122,133592,501,67486
1992,VIRGINIA,VA,2559129,1150517,1038650,5730,364232
1992,WASHINGTON,WA,2287565,731234,993037,7533,555761
1992,WEST VIRGINIA,WV,683677,241974,331001,1873,108829
1992,WISCONSIN,WI,2531064,930855,1041066,2877,556266
1992,WYOMING,WY,199884,79347,68160,844,51533
1996,ALABAMA,AL,1534349,769044,662165,5290,97850
1996,ALASKA,AK,241620,122746,80380,2276,36218
1996,ARIZONA,AZ,1404405,622073,653288,14358,114686
1996,ARKANSAS,AR,884262,325416,475171,3076,80599
1996,CALIFORNIA,CA,10019469,3828381,5119835,73600,997653
1996,COLORADO,CO,1510702,691848,671152,12392,135310
1996,CONNECTICUT,CT,1392614,483109,735740,5788,167977
1996,DELAWARE,DE,270810,99062,140355,2052,29341
1996,DISTRICT OF COLUMBIA,DC,185726,17339,158220,588,9579
1996,FLORIDA,FL,5303154,2244536,2546870,23326,488422
1996,GEORGIA,GA,2298899,1080843,1053849,17870,146337
1996,HAWAII,HI,360120,113943,205012,2493,38672
1996,IDAHO,ID,491711,256595,165443,3325,66348
